symbol,open_time,probability,side_no_veto,risk_veto,side_with_veto,realized_6h_return,net_return_no_veto,net_return_with_veto
SOLUSDT,2025-11-16 22:00:00+00:00,0.497819777003,0,0,0,0.0222125118345,0,0
SOLUSDT,2025-11-16 23:00:00+00:00,0.496225724385,0,0,0,0.0250054676679,0,0
SOLUSDT,2025-11-17 00:00:00+00:00,0.504672466014,0,0,0,0.015879859165,0,0
SOLUSDT,2025-11-17 01:00:00+00:00,0.494308280027,0,0,0,0.0222045421669,0,0
SOLUSDT,2025-11-17 02:00:00+00:00,0.499826684253,0,0,0,0.0177118583051,0,0
SOLUSDT,2025-11-17 03:00:00+00:00,0.506549854685,0,0,0,0.0122611919019,0,0
SOLUSDT,2025-11-17 04:00:00+00:00,0.501832480491,0,0,0,0.0136078654887,0,0
SOLUSDT,2025-11-17 05:00:00+00:00,0.503054712305,0,0,0,0.00924608819346,0,0
SOLUSDT,2025-11-17 06:00:00+00:00,0.4983515334,0,0,0,0.00282925449144,0,0
SOLUSDT,2025-11-17 07:00:00+00:00,0.50145087383,0,0,0,-0.0233496073021,0,0
SOLUSDT,2025-11-17 08:00:00+00:00,0.499381901655,0,0,0,-0.00856031128405,0,0
SOLUSDT,2025-11-17 09:00:00+00:00,0.497071359553,0,0,0,-0.0340845070423,0,0
SOLUSDT,2025-11-17 10:00:00+00:00,0.497037393322,0,0,0,-0.0449145990019,0,0
SOLUSDT,2025-11-17 11:00:00+00:00,0.493595935375,0,0,0,-0.0694855532065,0,0
SOLUSDT,2025-11-17 12:00:00+00:00,0.489831186595,0,0,0,-0.0794188178869,0,0
SOLUSDT,2025-11-17 13:00:00+00:00,0.472572131507,0,0,0,-0.0607114395421,0,0
SOLUSDT,2025-11-17 14:00:00+00:00,0.485532146388,0,0,0,-0.0701441415727,0,0
SOLUSDT,2025-11-17 15:00:00+00:00,0.46856282731,0,0,0,-0.0470982793817,0,0
SOLUSDT,2025-11-17 16:00:00+00:00,0.460918274204,0,0,0,-0.033632617015,0,0
SOLUSDT,2025-11-17 17:00:00+00:00,0.454065378503,0,0,0,-0.00795213571645,0,0
SOLUSDT,2025-11-17 18:00:00+00:00,0.451912441375,0,0,0,0.00597609561753,0,0
SOLUSDT,2025-11-17 19:00:00+00:00,0.46192932612,0,0,0,0.0178172001543,0,0
SOLUSDT,2025-11-17 20:00:00+00:00,0.459215029016,0,0,0,0.016038677001,0,0
SOLUSDT,2025-11-17 21:00:00+00:00,0.470615233906,0,0,0,0.0291507268554,0,0
SOLUSDT,2025-11-17 22:00:00+00:00,0.476834482859,0,0,0,0.0321376894372,0,0
SOLUSDT,2025-11-17 23:00:00+00:00,0.487467328817,0,0,0,0.037865485915,0,0
SOLUSDT,2025-11-18 00:00:00+00:00,0.494661390961,0,0,0,0.033511043412,0,0
SOLUSDT,2025-11-18 01:00:00+00:00,0.499471173766,0,0,0,0.0375871476205,0,0
SOLUSDT,2025-11-18 02:00:00+00:00,0.499133889476,0,0,0,0.0404833836858,0,0
SOLUSDT,2025-11-18 03:00:00+00:00,0.505579953972,0,0,0,0.0248308675935,0,0
SOLUSDT,2025-11-18 04:00:00+00:00,0.505333555504,0,0,0,0.0180771784845,0,0
SOLUSDT,2025-11-18 05:00:00+00:00,0.507060048018,0,0,0,0.0141963957337,0,0
SOLUSDT,2025-11-18 06:00:00+00:00,0.505975803978,0,0,0,0.0186440677966,0,0
SOLUSDT,2025-11-18 07:00:00+00:00,0.507229986072,0,0,0,0.0100058428279,0,0
SOLUSDT,2025-11-18 08:00:00+00:00,0.507123841181,0,0,0,-0.00188734030197,0,0
SOLUSDT,2025-11-18 09:00:00+00:00,0.500545085441,0,0,0,0.0134203844759,0,0
SOLUSDT,2025-11-18 10:00:00+00:00,0.497823271028,0,0,0,0.022539498478,0,0
SOLUSDT,2025-11-18 11:00:00+00:00,0.495889559999,0,0,0,0.0157383231796,0,0
SOLUSDT,2025-11-18 12:00:00+00:00,0.497868120622,0,0,0,0.0233668523475,0,0
SOLUSDT,2025-11-18 13:00:00+00:00,0.493543475995,0,0,0,0.0227782196833,0,0
SOLUSDT,2025-11-18 14:00:00+00:00,0.488453654645,0,0,0,0.0264,0,0
SOLUSDT,2025-11-18 15:00:00+00:00,0.497218743992,0,0,0,0.000286327845383,0,0
SOLUSDT,2025-11-18 16:00:00+00:00,0.500197998723,0,0,0,0.00240980934155,0,0
SOLUSDT,2025-11-18 17:00:00+00:00,0.494259887282,0,0,0,0.00456979650125,0,0
SOLUSDT,2025-11-18 18:00:00+00:00,0.501250136313,0,0,0,-0.00219143220698,0,0
SOLUSDT,2025-11-18 19:00:00+00:00,0.499350490019,0,0,0,-0.0074943438914,0,0
SOLUSDT,2025-11-18 20:00:00+00:00,0.502421726813,0,0,0,0.00758166229717,0,0
SOLUSDT,2025-11-18 21:00:00+00:00,0.482441250758,0,0,0,0.000500930299127,0,0
SOLUSDT,2025-11-18 22:00:00+00:00,0.486662717343,0,0,0,-0.0195856607509,0,0
SOLUSDT,2025-11-18 23:00:00+00:00,0.485974263054,0,0,0,-0.0191200511763,0,0
SOLUSDT,2025-11-19 00:00:00+00:00,0.482458686246,0,0,0,-0.0148069429685,0,0
SOLUSDT,2025-11-19 01:00:00+00:00,0.478655996854,0,0,0,0.00142470437384,0,0
SOLUSDT,2025-11-19 02:00:00+00:00,0.490505054885,0,0,0,-0.0142053445851,0,0
SOLUSDT,2025-11-19 03:00:00+00:00,0.484745080554,0,0,0,-0.000715256419426,0,0
SOLUSDT,2025-11-19 04:00:00+00:00,0.474783155731,0,0,0,0.00634645896437,0,0
SOLUSDT,2025-11-19 05:00:00+00:00,0.475425270181,0,0,0,0.00405797101449,0,0
SOLUSDT,2025-11-19 06:00:00+00:00,0.479535523893,0,0,0,-0.000791025456638,0,0
SOLUSDT,2025-11-19 07:00:00+00:00,0.489366648918,0,0,0,-0.027386541471,0,0
SOLUSDT,2025-11-19 08:00:00+00:00,0.479289039607,0,0,0,-0.0210443715223,0,0
SOLUSDT,2025-11-19 09:00:00+00:00,0.487337721928,0,0,0,-0.0364326104073,0,0
SOLUSDT,2025-11-19 10:00:00+00:00,0.491677894941,0,0,0,-0.0440733839759,0,0
SOLUSDT,2025-11-19 11:00:00+00:00,0.490169009207,0,0,0,-0.04582852194,0,0
SOLUSDT,2025-11-19 12:00:00+00:00,0.488502671351,0,0,0,-0.0535444404462,0,0
SOLUSDT,2025-11-19 13:00:00+00:00,0.472763972407,0,0,0,-0.0364952826739,0,0
SOLUSDT,2025-11-19 14:00:00+00:00,0.47713330409,0,0,0,-0.0292938861765,0,0
SOLUSDT,2025-11-19 15:00:00+00:00,0.466650716243,0,0,0,0.00616550289704,0,0
SOLUSDT,2025-11-19 16:00:00+00:00,0.464464277785,0,0,0,0.016343054202,0,0
SOLUSDT,2025-11-19 17:00:00+00:00,0.465342550033,0,0,0,0.0366840632327,0,0
SOLUSDT,2025-11-19 18:00:00+00:00,0.461335614053,0,0,0,0.0472207436697,0,0
SOLUSDT,2025-11-19 19:00:00+00:00,0.472737839508,0,0,0,0.0601943221497,0,0
SOLUSDT,2025-11-19 20:00:00+00:00,0.477264903016,0,0,0,0.0785226334359,0,0
SOLUSDT,2025-11-19 21:00:00+00:00,0.495496915231,0,0,0,0.0570690291621,0,0
SOLUSDT,2025-11-19 22:00:00+00:00,0.499715079611,0,0,0,0.0670502323523,0,0
SOLUSDT,2025-11-19 23:00:00+00:00,0.509253910277,0,0,0,0.0513643659711,0,0
SOLUSDT,2025-11-20 00:00:00+00:00,0.513683207919,0,0,0,0.0371768806274,0,0
SOLUSDT,2025-11-20 01:00:00+00:00,0.518433287194,0,0,0,0.0295697000072,0,0
SOLUSDT,2025-11-20 02:00:00+00:00,0.527660559385,0,0,0,-0.00194891069813,0,0
SOLUSDT,2025-11-20 03:00:00+00:00,0.513094267676,0,0,0,-0.00796200586674,0,0
SOLUSDT,2025-11-20 04:00:00+00:00,0.51735923416,0,0,0,-0.0165906262961,0,0
SOLUSDT,2025-11-20 05:00:00+00:00,0.509190519278,0,0,0,-0.0137404580153,0,0
SOLUSDT,2025-11-20 06:00:00+00:00,0.503211153363,0,0,0,-0.00574068888267,0,0
SOLUSDT,2025-11-20 07:00:00+00:00,0.501454948924,0,0,0,-0.0215577190542,0,0
SOLUSDT,2025-11-20 08:00:00+00:00,0.486747901313,0,0,0,-0.0170165283493,0,0
SOLUSDT,2025-11-20 09:00:00+00:00,0.483842216759,0,0,0,-0.0244297381019,0,0
SOLUSDT,2025-11-20 10:00:00+00:00,0.480850193826,0,0,0,-0.067552368902,0,0
SOLUSDT,2025-11-20 11:00:00+00:00,0.481632122798,0,0,0,-0.0655080213904,0,0
SOLUSDT,2025-11-20 12:00:00+00:00,0.485305050429,0,0,0,-0.0665399239544,0,0
SOLUSDT,2025-11-20 13:00:00+00:00,0.476170826736,0,0,0,-0.0481876332623,0,0
SOLUSDT,2025-11-20 14:00:00+00:00,0.47957381927,0,0,0,-0.051507626818,0,0
SOLUSDT,2025-11-20 15:00:00+00:00,0.474115219685,0,0,0,-0.0320415674388,0,0
SOLUSDT,2025-11-20 16:00:00+00:00,0.457713421978,0,0,0,0.0286468149265,0,0
SOLUSDT,2025-11-20 17:00:00+00:00,0.462781255835,0,0,0,0.00647541600783,0,0
SOLUSDT,2025-11-20 18:00:00+00:00,0.462653551579,0,0,0,0.0122199592668,0,0
SOLUSDT,2025-11-20 19:00:00+00:00,0.471320539624,0,0,0,0.00238948626045,0,0
SOLUSDT,2025-11-20 20:00:00+00:00,0.469377017365,0,0,0,-0.0172039793552,0,0
SOLUSDT,2025-11-20 21:00:00+00:00,0.477459321059,0,0,0,-0.0112577350332,0,0
SOLUSDT,2025-11-20 22:00:00+00:00,0.499917741688,0,0,0,-0.0279223158666,0,0
SOLUSDT,2025-11-20 23:00:00+00:00,0.490723463373,0,0,0,-0.0118201541109,0,0
SOLUSDT,2025-11-21 00:00:00+00:00,0.494360168947,0,0,0,-0.0247410388255,0,0
SOLUSDT,2025-11-21 01:00:00+00:00,0.491329298924,0,0,0,-0.0498361144219,0,0
SOLUSDT,2025-11-21 02:00:00+00:00,0.484204405173,0,0,0,-0.0250399573788,0,0
SOLUSDT,2025-11-21 03:00:00+00:00,0.488376579911,0,0,0,-0.0536872266626,0,0
SOLUSDT,2025-11-21 04:00:00+00:00,0.481559671583,0,0,0,-0.0569209891435,0,0
SOLUSDT,2025-11-21 05:00:00+00:00,0.487697275901,0,0,0,-0.0588235294118,0,0
SOLUSDT,2025-11-21 06:00:00+00:00,0.482083291203,0,0,0,-0.0353022082983,0,0
SOLUSDT,2025-11-21 07:00:00+00:00,0.470124135718,0,0,0,-0.00266562132497,0,0
SOLUSDT,2025-11-21 08:00:00+00:00,0.48404390426,0,0,0,0.00405932864949,0,0
SOLUSDT,2025-11-21 09:00:00+00:00,0.472217891057,0,0,0,-0.000717131474104,0,0
SOLUSDT,2025-11-21 10:00:00+00:00,0.472016854354,0,0,0,0.0285394515949,0,0
SOLUSDT,2025-11-21 11:00:00+00:00,0.471669877172,0,0,0,0.0394144144144,0,0
SOLUSDT,2025-11-21 12:00:00+00:00,0.480999258029,0,0,0,0.0260594059406,0,0
SOLUSDT,2025-11-21 13:00:00+00:00,0.492145107978,0,0,0,0.00715352566622,0,0
SOLUSDT,2025-11-21 14:00:00+00:00,0.49425114608,0,0,0,-0.0111957704867,0,0
SOLUSDT,2025-11-21 15:00:00+00:00,0.490564119315,0,1,0,0.0275895064189,0,0
